,Sales,Releases,Age,X360,Wii,XOne,WiiU,PS3,NS,PS4
Enterbrain  ,0.0,0,17.0,0,0,0,0,0,0,0
Yeti  ,0.08,2,12.0,1,0,0,0,0,0,1
New  ,0.0,0,23.0,0,0,0,0,0,0,0
HAL Laboratory  ,0.0,0,29.0,0,0,0,0,0,0,0
Nippon Columbia  ,0.16,1,1.0,0,0,0,0,0,1,0
Success  ,0.0,0,16.0,0,0,0,0,0,0,0
Ultra Games  ,0.0,0,29.0,0,0,0,0,0,0,0
American Technos  ,0.0,0,22.0,0,0,0,0,0,0,0
Alchemist  ,0.18,4,12.0,1,0,0,0,1,0,0
TDK Mediactive  ,0.0,0,17.0,0,0,0,0,0,0,0
Agatsuma Entertainment  ,0.02,1,8.0,0,1,0,0,0,0,0
SNK Playmore  ,0.7200000000000001,4,13.0,0,1,0,0,0,0,0
Compile Heart  ,0.9300000000000002,12,9.0,1,0,0,0,1,0,1
Kadokawa Shoten  ,0.18000000000000002,2,22.0,0,1,0,0,0,0,0
Abel  ,0.0,0,9.0,0,0,0,0,0,0,0
Black Bean Games  ,0.6100000000000001,9,9.0,1,1,0,0,1,0,0
Atari  ,21.580000000000002,46,41.0,1,1,1,0,1,0,1
Mastertronic  ,0.12,3,7.0,1,0,0,0,0,0,0
Panasonic Interactive Media  ,0.0,0,24.0,0,0,0,0,0,0,0
CCP  ,0.36,1,2.0,0,0,0,0,0,0,1
Soedesco  ,0.39,10,2.0,0,0,1,0,0,1,1
Microsoft  ,266.87999999999977,57,17.0,1,0,0,0,0,0,0
Square EA  ,0.0,0,20.0,0,0,0,0,0,0,0
XS Games  ,1.9700000000000002,7,15.0,1,1,0,0,0,0,0
Taito  ,0.04,1,36.0,0,1,0,0,0,0,0
Storm City Games  ,1.5700000000000005,12,9.0,0,1,0,0,0,0,0
Red Hook Studios  ,0.02,1,0.0,0,0,0,0,0,0,1
Paramount Digital Entertainment  ,0.8300000000000001,3,7.0,1,1,0,0,1,0,0
Imax  ,0.0,0,25.0,0,0,0,0,0,0,0
Studio Artdink  ,0.02,1,0.0,0,0,0,0,0,1,0
Bergsala Lightweight  ,0.02,1,4.0,0,0,0,1,0,0,0
EA Sports BIG   ,2.28,5,18.0,1,1,0,0,1,0,0
ITT Family Games  ,0.0,0,35.0,0,0,0,0,0,0,0
Fuji  ,0.0,0,23.0,0,0,0,0,0,0,0
Tequila Works  ,0.02,1,0.0,0,0,1,0,0,0,0
ChunSoft  ,0.02,1,26.0,1,0,0,0,0,0,0
Home Entertainment Suppliers  ,0.55,3,8.0,1,0,0,0,1,0,0
Viacom  ,0.0,0,23.0,0,0,0,0,0,0,0
Data Age  ,0.0,0,36.0,0,0,0,0,0,0,0
Experience Inc.  ,0.04,2,4.0,1,0,0,0,0,0,1
Koei Tecmo  ,0.7500000000000001,7,1.0,0,0,1,0,0,1,1
LEGO Media  ,0.0,0,19.0,0,0,0,0,0,0,0
Detn8 Games  ,0.56,2,11.0,0,1,0,0,0,0,0
Rebellion Games  ,0.02,1,2.0,0,0,0,0,0,0,1
responDESIGN  ,0.0,0,14.0,0,0,0,0,0,0,0
Takara  ,0.0,0,25.0,0,0,0,0,0,0,0
Oxygen Interactive  ,0.04,2,10.0,0,1,0,0,0,0,0
From Software  ,0.26,2,24.0,1,0,0,0,1,0,0
Konami Digital Entertainment  ,46.64,63,7.0,1,1,1,0,1,1,1
Acquire  ,0.6300000000000001,5,12.0,0,0,0,0,1,0,1
GameMill  ,3.9899999999999998,15,9.0,0,1,1,0,0,1,1
CK Games  ,0.05,1,6.0,0,1,0,0,0,0,0
Broderbund  ,0.0,0,31.0,0,0,0,0,0,0,0
Nicalis  ,1.1099999999999999,7,4.0,0,0,0,0,0,1,1
Aksys Games  ,11.249999999999998,44,11.0,1,1,0,0,1,0,1
Nippon Telenet  ,0.0,0,22.0,0,0,0,0,0,0,0
Studio Wildcard  ,1.8599999999999999,2,1.0,0,0,1,0,0,0,1
Aquaplus  ,0.44,4,19.0,0,0,0,0,1,0,0
Telstar  ,0.0,0,20.0,0,0,0,0,0,0,0
Mud Duck Productions  ,1.75,1,15.0,0,1,0,0,0,0,0
Idea Factory International  ,0.7499999999999999,5,2.0,0,0,0,0,0,0,1
A1 Games  ,0.0,0,19.0,0,0,0,0,0,0,0
Warashi  ,0.0,0,11.0,0,0,0,0,0,0,0
Ecole  ,0.0,0,9.0,0,0,0,0,0,0,0
Bethesda Softworks  ,172.12,70,16.0,1,1,1,0,1,1,1
Aria  ,0.0,0,12.0,0,0,0,0,0,0,0
Sony Online Entertainment  ,1.35,2,15.0,0,0,0,0,1,0,0
Anuman  ,0.09,1,2.0,0,0,0,0,0,0,1
Aques  ,0.0,0,21.0,0,0,0,0,0,0,0
Tomy Corporation  ,2.66,2,23.0,0,1,0,0,0,0,0
SquareSoft  ,0.0,0,19.0,0,0,0,0,0,0,0
Moss  ,0.04,2,5.0,1,0,0,0,1,0,0
MTV Games  ,47.46,35,11.0,1,1,0,0,1,0,0
Valve Corporation  ,6.72,1,10.0,1,0,0,0,0,0,0
Karin Entertainment  ,0.0,0,10.0,0,0,0,0,0,0,0
Legacy Interactive  ,0.27,1,10.0,0,1,0,0,0,0,0
SVG Distribution  ,0.12000000000000001,2,8.0,0,1,0,0,0,0,0
Psygnosis  ,0.0,0,23.0,0,0,0,0,0,0,0
NEC  ,0.0,0,23.0,0,0,0,0,0,0,0
Rebellion  ,0.07,2,1.0,0,0,1,0,0,0,1
Interplay Productions  ,0.0,0,25.0,0,0,0,0,0,0,0
Michaelsoft  ,0.0,0,12.0,0,0,0,0,0,0,0
DotEmu  ,0.12,2,1.0,0,0,0,0,0,1,1
Global Star  ,7.699999999999999,1,14.0,0,1,0,0,0,0,0
Pack-In-Video  ,0.0,0,23.0,0,0,0,0,0,0,0
Asmik Corp  ,0.0,0,24.0,0,0,0,0,0,0,0
ESP  ,0.0,0,21.0,0,0,0,0,0,0,0
Unfinished Pixel  ,0.31000000000000005,5,2.0,0,0,1,0,0,0,1
Team 17  ,0.09,1,0.0,0,0,0,0,0,1,0
Prototype  ,0.13999999999999999,3,11.0,1,0,0,0,1,0,0
Midway Games  ,26.72,25,22.0,1,1,0,0,1,0,0
Angel Studios  ,0.0,0,27.0,0,0,0,0,0,0,0
Ignition Entertainment  ,4.620000000000001,14,14.0,1,1,0,0,1,0,0
Zoo Games  ,9.829999999999998,36,10.0,1,1,0,0,1,0,0
Yacht Club Games  ,0.41000000000000003,2,4.0,0,0,0,1,0,0,1
Daito  ,0.0,0,12.0,0,0,0,0,0,0,0
Koch Media  ,1.8300000000000003,11,7.0,1,0,1,0,1,1,1
LucasArts  ,79.17,28,22.0,1,1,0,0,1,0,0
Men-A-Vision  ,0.0,0,36.0,0,0,0,0,0,0,0
Black Pearl  ,0.0,0,22.0,0,0,0,0,0,0,0
Fox Interactive  ,0.0,0,22.0,0,0,0,0,0,0,0
Kokopeli Digital Studios  ,0.0,0,22.0,0,0,0,0,0,0,0
UFO Interactive  ,1.9100000000000001,16,17.0,1,1,0,0,0,0,1
2K Sports  ,150.40000000000006,110,13.0,1,1,1,1,1,1,1
Perpetual  ,0.02,1,0.0,0,0,0,0,0,0,1
Rockstar Games  ,231.79000000000002,30,19.0,1,1,1,0,1,1,1
Funbox Media  ,0.09,2,6.0,0,1,0,0,0,1,0
Quest  ,0.0,0,23.0,0,0,0,0,0,0,0
Myelin Media  ,0.0,0,12.0,0,0,0,0,0,0,0
Comfort  ,0.0,0,8.0,0,0,0,0,0,0,0
Sweets  ,0.0,0,12.0,0,0,0,0,0,0,0
Electro Brain  ,0.0,0,20.0,0,0,0,0,0,0,0
Hello Games  ,3.7800000000000002,1,2.0,0,0,0,0,0,0,1
11 bit studios  ,0.07,2,2.0,0,0,1,0,0,0,1
Hudson Soft  ,10.659999999999997,18,32.0,1,1,0,0,0,0,0
Outright Games  ,0.32999999999999996,5,1.0,0,0,1,0,0,1,1
Level 5  ,1.3800000000000001,5,7.0,0,1,0,1,0,1,0
DigiCube  ,0.0,0,16.0,0,0,0,0,0,0,0
Culture Brain  ,0.0,0,27.0,0,0,0,0,0,0,0
Tommo  ,0.2,2,11.0,0,1,0,0,0,0,0
Harmonix Music Systems  ,2.42,2,3.0,0,0,1,0,0,0,1
Titus  ,0.0,0,21.0,0,0,0,0,0,0,0
KOEI  ,7.199999999999996,29,26.0,1,1,0,0,1,0,0
